Basis,Shrinkwrap,adjustments,brow_center_DN,brow_center_UP,brow_inner_DN.L,brow_inner_DN.R,brow_inner_UP.L,brow_inner_UP.R,brow_outer_DN.L,brow_outer_DN.R,brow_outer_UP.L,brow_outer_up.R,eye-blink.LO.L,eye-blink.LO.R,eye-blink.UP.L,eye-blink.UP.R,eye-flare.LO.L,eye-flare.LO.R,eye-flare.UP.L,eye-flare.UP.R,eyes-look.dn,eyes-look.up,jaw,lip-DN.C.DN,lip-DN.C.UP,lip-DN.L.DN,lip-DN.L.UP,lip-DN.R.DN,lip-JAW.DN,lip-UP.C.DN,lip-UP.C.UP,lip-UP.L.DN,lip-UP.L.UP,lip-UP.R.DN,lip-UP.R.UP,lip.DN.R.UP,lips-frown.L,lips-frown.R,lips-narrow.L,lips-narrow.R,lips-smile.L,lips-smile.R,lips-wide.L,lips-wide.R,sneer.L,sneer.R,wince.L,wince.R
0,0,1,0,0.0065028667,0,0,0,0.0099018216,0,0,0,0,0,0,0,0,0.0036146832,0.0036177207,0.0030670816,0.0030669558,0.4719998837,0.2241718173,0,0,0.0006519258,0.000911206,0,0,0,0,0.0004187226,0,0.0035345554,0,0.0004157424,0.0011794269,0,0,0,0,0.0035652891,0.0059615821,0,0,0,0,0,0
0,0,1,0,0.0064194202,0,0,0,0.0099003315,0,0,0,0,0,0,0,0,0.003158889,0.003166389,0.0030726683,0.0030755496,0.4719998837,0.2241923213,0.0027113866,0,0.0008434057,0.0015191734,0,0,0,0,0.0002071261,0,0.0035315752,0,0.0001385808,0.0015199184,0,0,0,0,0.0035647303,0.0059606507,0,0.0001106758,0.0005498528,0.0006124377,0.0004738569,0.0007435679
0,0,1,0,0.0061571598,0,0,0,0.0099018216,0,0,0,0,0,0,0,0,0.0017644935,0.001763041,0.0030913618,0.0030912622,0.4719998837,0.2242545485,0.0109490088,0,0.0014230609,0.0033572316,0,0,0,0.0004336238,0,0,0.0035241246,0.0007048249,0,0.0025488436,0,0,0,0,0.0035649166,0.0059612095,0,0.0004449259,0.0022172928,0.0024750829,0.0019147992,0.0029981136
0,0,1,0,0.0057116151,0,0,0,0.0099018216,0,0,0,0,0.0005853148,0.0005807914,0,0,0,0,0.0030762304,0.0030820952,0.4719998837,0.2243599892,0.024840855,0,0.0023938715,0.0064328313,0,0,0,0.0015154481,0,0,0.0035002828,0.0021308661,0,0.0042721629,0,0,0,0,0.0035660341,0.0059619546,0,0.0010045836,0.0050067902,0.0055789948,0.0043198466,0.0067710876
0,0,1,0,0.005069375,0,0,0,0.0099003315,0,0,0,0,0.0038400507,0.0038281057,0,0,0,0,0.0030188162,0.0030187685,0.4719998837,0.224509716,0.0444687586,0,0.0037513673,0.0107422471,0,0,0,0.003054738,0,0,0.0034511089,0.0041514635,0,0.006686151,0.0001639128,0,0,0,0.0035658479,0.0059619546,0,0.001789048,0.0089198351,0.009945035,0.0077009201,0.0120550394
0,0,1,0,0.0042244792,0,0,0,0.0099003315,0,0,0,0,0.0078539103,0.0078494241,0,0,0,0,0.0028628025,0.0028672498,0.4719998837,0.224704504,0.0698547993,0,0.0054940581,0.0162675977,0,0,0,0.0050485134,0,0,0.003361702,0.0067666173,0,0.0097833574,0.0002596527,0,0,0,0.0035654753,0.0059619546,0,0.0027947081,0.0139310956,0.0155299902,0.0120297074,0.0188305974
0,0,1,0,0.0031620264,0,0,0,0.0099018216,0,0,0,0,0.012427141,0.0124315657,0,0,0,0,0.0025783479,0.0025798222,0.4719998837,0.2249445319,0.1009467844,0,0.0076070428,0.0229671597,0,0,0,0.0075086951,0,0,0.0032275915,0.0099763274,0,0.0135369599,0.0003762543,0,0.0001212763,0,0.0035669655,0.0059617683,0,0.0040143537,0.020006299,0.0223115087,0.0172793865,0.0270485878
0,0,1,0,0.0018835068,0,0,0,0.0099018216,0,0,0,0,0.0172793772,0.0172704104,0,0,0,0,0.0021261794,0.0021351278,0.4719998837,0.2252292037,0.1376037319,0,0.0100709498,0.0307820737,0,0,0,0.0104233623,0,0,0.0030264258,0.0137686729,0,0.0179179013,0.0005163252,0,0.0002001652,0,0.0035664067,0.0059617683,0,0.0054366165,0.0270947814,0.0302106142,0.0234022737,0.0366345048
0,0,1,0,0.0003859401,0,0,0,0.0099003315,0,0,0,0,0.0221061297,0.022100186,0,0,0,0,0.0014906764,0.0014966713,0.4719998837,0.2255577445,0.1795827288,0,0.0128574669,0.0396221876,0,0,0,0.0137805939,0,0,0.0027447939,0.0181257725,0,0.0228695571,0.0006765127,0,0.0003100111,0,0.0035651028,0.0059626997,0,0.0070455195,0.0351175666,0.0391557813,0.0303268433,0.0474750996
0,0,1,0.0013366342,0,0,0,0,0.0099018216,0,0,0,0,0.0266342647,0.026631318,0,0,0,0,0.0006510259,0.0006510927,0.4719998837,0.225927949,0.2265292697,0,0.0159338117,0.0493727624,0,0,0,0.017568469,0,0,0.0023707747,0.0230118632,0,0.0283330679,0.0008627772,0,0.0004570283,0,0.0035658479,0.0059606507,0,0.0088202013,0.0439614058,0.0490143895,0.0379636884,0.059427321
